fips,total_cases,fips,total_death
17135,472982,17135,9165
17137,583397,17137,15626
17139,234829,17139,4333
17141,804871,17141,11661
17143,2713625,17143,43583
17145,422695,17145,9882
17147,198510,17147,2309
17149,252152,17149,7158
17151,38666,17151,421
17153,116106,17153,745
17155,61396,17155,358
17157,669101,17157,11660
17159,238769,17159,6875
17161,2245713,17161,53798
17163,4637680,17163,97429
17165,342217,17165,8480
17167,2567846,17167,41590
17169,96266,17169,2061
17171,66396,17171,128
17173,341819,17173,6109
17175,78583,17175,2909
17177,646348,17177,12639
17179,2010221,17179,38407
17181,366387,17181,9235
17183,1217913,17183,17476
17185,188939,17185,2296
17187,285056,17187,6495
17189,230797,17189,3597
17191,255623,17191,7602
17193,221357,17193,4400
17195,954876,17195,30080
17197,11051746,17197,202051
17199,1060505,17199,22185
17201,4942190,17201,87005
17203,545633,17203,10394
18001,481714,18001,6990
18003,5727180,18003,119199
18005,1148075,18005,28562
18007,134693,18007,1468
18009,181133,18009,4138
18011,943415,18011,21762
18013,138111,18013,4534
18015,267414,18015,4112
18017,1098349,18017,13515
18019,1842225,18019,34577
18021,361543,18021,6540
18023,625975,18023,8989
18025,128191,18025,1870
18027,467466,18027,17397
18029,796827,18029,13899
18031,447017,18031,20292
18033,575826,18033,11737
18035,1567350,18035,34624
18037,909685,18037,14984
18039,4638557,18039,73224
18041,461719,18041,9981
18043,1114716,18043,31490
18045,283664,18045,5224
18047,260564,18047,8680
18049,273688,18049,5285
18051,600778,18051,11102
18053,1083788,18053,26058
18055,403447,18055,18040
18057,4856424,18057,74354
18059,1091250,18059,24505
18061,585518,18061,12659
18063,2468275,18063,65927
18065,833784,18065,15084
18067,1359975,18067,35334
18069,474416,18069,9231
18071,756301,18071,9914
18073,480666,18073,6127
18075,277445,18075,4159
18077,414798,18077,8457
18079,334168,18079,8238
18081,2525308,18081,72847
18083,544037,18083,9655
18085,1352657,18085,16390
18087,435480,18087,11055
18089,8294543,18089,174554
18091,1530605,18091,32385
18093,637040,18093,19783
18095,1803655,18095,57261
18097,15472841,18097,371813
18099,895262,18099,16427
18101,121749,18101,1866
18103,537041,18103,7627
18105,1657035,18105,25482
18107,576579,18107,13625
18109,884864,18109,22863
18111,163646,18111,6400
18113,822143,18113,16367
18115,80531,18115,2119
18117,265849,18117,11655
18119,255911,18119,6469
18121,207206,18121,1999
18123,264856,18123,6787
18125,186057,18125,5021
18127,2487782,18127,40663
18129,390623,18129,4544
18131,158296,18131,5733
18133,502319,18133,9474
18135,356184,18135,9558
18137,475765,18137,9034
18139,248632,18139,3424
18141,5022101,18141,85137
18143,385171,18143,8571
18145,908701,18145,20999
18147,307717,18147,3836
18149,294658,18149,8213
18151,503868,18151,7370
18153,312890,18153,6005
18155,104409,18155,951
18157,2950454,18157,23874
18159,219934,18159,8491
18161,105351,18161,1029
18163,3243975,18163,48019
18165,226586,18165,4986
18167,1786496,18167,33100
18169,488135,18169,9548
18171,102460,18171,1832
18173,1117319,18173,26076
18175,302095,18175,3446
18177,1101837,18177,27238
18179,389571,18179,10072
18181,465759,18181,8580
18183,488288,18183,5331
19001,117504,19001,3528
19003,48257,19003,477
19005,234916,19005,6219
19007,186007,19007,6423
19009,75384,19009,1318
19011,380271,19011,7022
19013,2804405,19013,51123
19015,391836,19015,4115
19017,440762,19017,8338
19019,282380,19019,3741
19021,910961,19021,6484
19023,252143,19023,4033
19025,215763,19025,1824
19027,465273,19027,6551
19029,200231,19029,6877
19031,272493,19031,3429
19033,837612,19033,13409
19035,235117,19035,4323
19037,195505,19037,1810
19039,159414,19039,2509
19041,306079,19041,3201
19043,261088,19043,7169
19045,820844,19045,12589
19047,515768,19047,5246
19049,1786786,19049,18351
19051,121171,19051,3383
19053,84909,19053,847
19055,320418,19055,5920
19057,691862,19057,7938
19059,364755,19059,5199
19061,2184951,19061,31415
19063,201287,19063,6265
19065,270612,19065,4208
19067,248390,19067,6030
19069,193620,19069,4718
19071,91502,19071,1128
19073,119003,19073,1127
19075,207612,19075,4029
19077,189795,19077,5004
19079,288893,19079,5230
19081,220317,19081,4176
19083,279309,19083,4922
19085,273949,19085,9794
19087,471522,19087,5090
