fips,total_cases,fips,total_death
18169,351620,18169,6468
18171,71422,18171,1208
18173,813859,18173,19767
18175,213210,18175,2285
18177,815194,18177,19252
18179,278497,18179,6820
18181,344407,18181,6382
18183,342457,18183,3759
19001,84089,19001,2267
19003,35401,19003,317
19005,175685,19005,4243
19007,135948,19007,4543
19009,55958,19009,958
19011,281466,19011,4846
19013,2193202,19013,39064
19015,291087,19015,2885
19017,330416,19017,6017
19019,208775,19019,2520
19021,743627,19021,4927
19023,187729,19023,2717
19025,162921,19025,1384
19027,355652,19027,4572
19029,147124,19029,4756
19031,200873,19031,2509
19033,632991,19033,9999
19035,173704,19035,2827
19037,147023,19037,1210
19039,120525,19039,1619
19041,225999,19041,2201
19043,195832,19043,4973
19045,612946,19045,9073
19047,412052,19047,3756
19049,1361697,19049,14569
19051,89733,19051,2429
19053,61629,19053,487
19055,242563,19055,4347
19057,517702,19057,5399
19059,274437,19059,3533
19061,1674378,19061,23389
19063,152318,19063,4665
19065,197967,19065,2654
19067,187502,19067,4374
19069,149098,19069,3892
19071,68061,19071,735
19073,88869,19073,727
19075,154084,19075,2773
19077,144127,19077,3880
19079,218511,19079,3388
19081,163981,19081,2843
19083,209055,19083,3315
19085,205287,19085,6936
19087,358192,19087,3610
19089,110482,19089,2432
19091,139165,19091,2245
19093,94117,19093,2961
19095,167563,19095,2653
19097,255049,19097,3508
19099,466022,19099,11106
19101,142149,19101,2442
19103,1903619,19103,9734
19105,346192,19105,5068
19107,104784,19107,2623
19109,214899,19109,3955
19111,407294,19111,4541
19113,2535934,19113,48253
19115,206847,19115,5842
19117,81547,19117,2048
19119,184868,19119,3607
19121,153353,19121,1592
19123,257335,19123,7360
19125,401030,19125,6039
19127,758068,19127,11629
19129,177424,19129,1824
19131,142392,19131,3247
19133,91635,19133,1934
19135,101765,19135,3701
19137,101733,19137,3209
19139,603339,19139,18244
19141,232927,19141,6702
19143,93629,19143,960
19145,191867,19145,1498
19147,120985,19147,1301
19149,522545,19149,9383
19151,105992,19151,1514
19153,7120247,19153,90813
19155,1251546,19155,17045
19157,187403,19157,4347
19159,50943,19159,1319
19161,150161,19161,1691
19163,2077381,19163,21441
19165,149730,19165,2843
19167,697738,19167,6481
19169,1313624,19169,5876
19171,331136,19171,12242
19173,86949,19173,1073
19175,136852,19175,2643
19177,67691,19177,1571
19179,566500,19179,18034
19181,589183,19181,5358
19183,300918,19183,5569
19185,54379,19185,2363
19187,667908,19187,8906
19189,164182,19189,4395
19191,202650,19191,2839
19193,2266250,19193,30305
19195,74687,19195,355
19197,264648,19197,2430
20001,94238,20001,162
20003,82068,20003,0
20005,181024,20005,1503
20007,37068,20007,216
20009,309365,20009,2942
20011,134316,20011,723
20013,133797,20013,2975
20015,744062,20015,4384
20017,35978,20017,461
20019,23201,20019,285
20021,259734,20021,2223
20023,39781,20023,1315
20025,31118,20025,644
20027,82463,20027,2500
20029,107402,20029,326
20031,79481,20031,3050
20033,16672,20033,681
20035,365169,20035,1674
20037,527468,20037,5513
20039,31778,20039,163
20041,168760,20041,2846
20043,100628,20043,653
20045,1024763,20045,6416
20047,32272,20047,0
20049,14674,20049,0
20051,455467,20051,5848
20053,130359,20053,493
20055,1009354,20055,8991
20057,1057971,20057,2868
20059,260184,20059,2710
20061,286736,20061,2178
20063,47813,20063,2853
20065,28676,20065,320
20067,135435,20067,2274
20069,77233,20069,986
20071,12811,20071,0
20073,59047,20073,274
20075,28703,20075,0
20077,66291,20077,1840
20079,363641,20079,4667
20081,54577,20081,175
20083,22639,20083,464
20085,157242,20085,1440
20087,165016,20087,2389
20089,21932,20089,367
20091,6120671,20091,78170
20093,71182,20093,1312
20095,74887,20095,1060
20097,26926,20097,277
20099,252292,20099,2920
20101,16151,20101,518
20103,943011,20103,6714
20105,23978,20105,318
20107,76184,20107,667
20109,35537,20109,0
20111,549785,20111,10665
20113,318445,20113,5045
20115,101189,20115,1082
20117,104884,20117,2118
20119,62350,20119,665
20121,264487,20121,1861
20123,53553,20123,0
20125,319226,20125,1563
20127,53284,20127,1066
20129,27490,20129,1178
20131,170454,20131,4862
20133,167313,20133,1384
20135,45854,20135,2117
20137,157561,20137,3333
20139,114793,20139,1045
20141,25012,20141,0
20143,57354,20143,0
20145,141775,20145,794
20147,81203,20147,2692
20149,172906,20149,1118
20151,89937,20151,2054
20153,41956,20153,631
20155,945360,20155,11889
20157,70656,20157,1253
20159,102567,20159,194
20161,759109,20161,3779
20163,68867,20163,1318
20165,46647,20165,0
20167,93995,20167,2365
20169,608100,20169,9223
20171,78125,20171,1596
20173,5922547,20173,48107
20175,668438,20175,3586
20177,1784717,20177,32765
20179,51433,20179,0
20181,72348,20181,937
20183,27043,20183,168
20185,38787,20185,890
20187,26680,20187,410
20189,77731,20189,686
20191,196623,20191,2678
20193,126844,20193,1065
20195,42790,20195,570
20197,67065,20197,996
20199,21227,20199,0
20201,52568,20201,875
20203,23406,20203,0
20205,84968,20205,1079
20207,19029,20207,0
20209,2770564,20209,46621
21001,207497,21001,8867
21003,198611,21003,3610
21005,148096,21005,1045
21007,36831,21007,433
21009,431360,21009,6104
21011,73624,21011,1183
21013,291823,21013,4400
21015,1261879,21015,10064
21017,149583,21017,918
21019,439722,21019,5217
21021,298490,21021,1605
21023,45652,21023,419
21025,86421,21025,456
21027,106881,21027,998
21029,651039,21029,5265
21031,171931,21031,4857
21033,132694,21033,1745
21035,373949,21035,4033
21037,758506,21037,7105
21039,47415,21039,342
21041,97787,21041,1405
21043,191523,21043,1857
21045,144917,21045,4915
21047,703919,21047,9809
21049,239823,21049,2982
21051,244594,21051,2557
21053,130624,21053,2656
21055,59472,21055,1106
21057,69007,21057,664
21059,962066,21059,14904
21061,96243,21061,3812
21063,103667,21063,109
21065,100187,21065,36
21067,3860241,21067,29743
21069,100592,21069,715
21071,274981,21071,2383
21073,364414,21073,3913
21075,62931,21075,790
21077,68656,21077,2804
21079,140691,21079,908
21081,193563,21081,2132
21083,442747,21083,11051
21085,218993,21085,6259
21087,125198,21087,2199
21089,328275,21089,2758
21091,76032,21091,1577
21093,923831,21093,8377
21095,246700,21095,5170
21097,140255,21097,462
21099,185813,21099,1911
21101,478196,21101,7512
21103,126621,21103,867
21105,37296,21105,635
21107,443283,21107,18901
21109,152575,21109,5528
21111,8674687,21111,134080
21113,423341,21113,5392
21115,168835,21115,1694
21117,1508253,21117,18809
21119,113107,21119,1727
21121,298752,21121,2316
21123,125307,21123,919
21125,588572,21125,2926
21127,107744,21127,933
21129,127319,21129,2134
21131,71592,21131,194
21133,152316,21133,1154
21135,119100,21135,4160
21137,198391,21137,4321
21139,71982,21139,1310
21141,292788,21141,8688
21143,52090,21143,1757
21145,608668,21145,6360
21147,159644,21147,1486
21149,85813,21149,2581
21151,908097,21151,6088
21153,93222,21153,120
21155,220527,21155,2891
21157,242876,21157,3784
21159,92953,21159,1356
21161,129028,21161,2217
21163,181781,21163,1374
21165,36866,21165,639
21167,210853,21167,1780
21169,92791,21169,1601
21171,141668,21171,3493
21173,222360,21173,2121
21175,143812,21175,25
21177,380855,21177,6743
21179,453766,21179,2923
21181,43527,21181,624
21183,267630,21183,4868
21185,678243,21185,8927
21187,61468,21187,809
21189,42736,21189,940
21191,88659,21191,121
21193,238201,21193,3207
21195,466457,21195,4974
21197,97566,21197,42
21199,569426,21199,7973
21201,18296,21201,876
21203,134500,21203,1246
21205,186416,21205,715
21207,177888,21207,4696
21209,420497,21209,3769
21211,527491,21211,7224
21213,179037,21213,3106
21215,151731,21215,645
21217,265190,21217,3219
21219,107619,21219,2691
21221,106865,21221,504
21223,55298,21223,183
21225,150338,21225,1421
21227,1843083,21227,16540
21229,129651,21229,1894
21231,193821,21231,2926
21233,125055,21233,1822
21235,393409,21235,1782
21237,41716,21237,329
21239,198091,21239,326
22001,984399,22001,31012
22003,494257,22003,14816
22005,1491674,22005,30238
22007,288803,22007,7045
22009,526663,22009,17538
22011,370458,22011,10781
22013,214910,22013,12117
22015,1555845,22015,38012
22017,3450793,22017,121455
22019,2720996,22019,61045
22021,145402,22021,2592
22023,75096,22023,638
22025,157978,22025,4352
22027,189194,22027,7662
22029,230309,22029,6769
22031,356140,22031,11639
22033,5265300,22033,141020
22035,194031,22035,2396
22037,472237,22037,20273
22039,459845,22039,10203
22041,407418,22041,14615
22043,231217,22043,7775
22045,973150,22045,27829
22047,538096,22047,19154
22049,251514,22049,8008
22051,6745896,22051,192179
22053,431566,22053,12825
22055,3137289,22055,40410
22057,1291583,22057,39474
22059,190081,22059,3887
22061,559236,22061,14803
22063,1556624,22063,26287
22065,264001,22065,3644
22067,344841,22067,8694
22069,498205,22069,11129
22071,4783579,22071,198747
22073,2507680,22073,57015
22075,306904,22075,6383
22077,359215,22077,13325
22079,1592298,22079,46604
22081,126568,22081,6426
22083,317184,22083,6153
22085,352850,22085,6269
22087,526574,22087,10096
22089,723469,22089,20296
22091,132877,22091,1117
